Heptano,
% T,Número de ondas
"3,213.00",100.09885
"3,212.00",100.085596
"3,211.00",100.077425
"3,210.00",100.090796
"3,209.00",100.117323
"3,208.00",100.13518
"3,207.00",100.133897
"3,206.00",100.119773
"3,205.00",100.103841
"3,204.00",100.091262
"3,203.00",100.079228
"3,202.00",100.058945
"3,201.00",100.0233
"3,200.00",99.977514
"3,199.00",99.940718
"3,198.00",99.931462
"3,197.00",99.950663
"3,196.00",99.981743
"3,195.00",100.006028
"3,194.00",100.016322
"3,193.00",100.0184
"3,192.00",100.022541
"3,191.00",100.031867
"3,190.00",100.037406
"3,189.00",100.027776
"3,188.00",100.003825
"3,187.00",99.982515
"3,186.00",99.982544
"3,185.00",100.006379
"3,184.00",100.036507
"3,183.00",100.049298
"3,182.00",100.033625
"3,181.00",99.998659
"3,180.00",99.966691
"3,179.00",99.956709
"3,178.00",99.970786
"3,177.00",99.995525
"3,176.00",100.016334
"3,175.00",100.027403
"3,174.00",100.029094
"3,173.00",100.021467
"3,172.00",100.004685
"3,171.00",99.984451
"3,170.00",99.972693
"3,169.00",99.979291
"3,168.00",100.001354
"3,167.00",100.024293
"3,166.00",100.035787
"3,165.00",100.037373
"3,164.00",100.039051
"3,163.00",100.044478
"3,162.00",100.047595
"3,161.00",100.044223
"3,160.00",100.040694
"3,159.00",100.046786
"3,158.00",100.063145
"3,157.00",100.07955
"3,156.00",100.084037
"3,155.00",100.071818
"3,154.00",100.048573
"3,153.00",100.027986
"3,152.00",100.022548
"3,151.00",100.031899
"3,150.00",100.0419
"3,149.00",100.03922
"3,148.00",100.025938
"3,147.00",100.017233
"3,146.00",100.026547
"3,145.00",100.054936
"3,144.00",100.091185
"3,143.00",100.11781
"3,142.00",100.121492
"3,141.00",100.102874
"3,140.00",100.075414
"3,139.00",100.051334
"3,138.00",100.031606
"3,137.00",100.012206
"3,136.00",99.995483
"3,135.00",99.990358
"3,134.00",100.00358
"3,133.00",100.031865
"3,132.00",100.060591
"3,131.00",100.071368
"3,130.00",100.056039
"3,129.00",100.024551
"3,128.00",99.994367
"3,127.00",99.970197
"3,126.00",99.940953
"3,125.00",99.901076
"3,124.00",99.864291
"3,123.00",99.846832
"3,122.00",99.845519
"3,121.00",99.844888
"3,120.00",99.84115
"3,119.00",99.84448
"3,118.00",99.86011
"3,117.00",99.881097
"3,116.00",99.901163
"3,115.00",99.922203
"3,114.00",99.945611
"3,113.00",99.964998
"3,112.00",99.972878
"3,111.00",99.968436
"3,110.00",99.956076
"3,109.00",99.94155
"3,108.00",99.931281
"3,107.00",99.928587
"3,106.00",99.925734
"3,105.00",99.908224
"3,104.00",99.871879
"3,103.00",99.83169
"3,102.00",99.808214
"3,101.00",99.809216
"3,100.00",99.828484
"3,099.00",99.856542
"3,098.00",99.885797
"3,097.00",99.910008
"3,096.00",99.926628
"3,095.00",99.938023
"3,094.00",99.947836
"3,093.00",99.957461
"3,092.00",99.966287
"3,091.00",99.971176
"3,090.00",99.966028
"3,089.00",99.947366
"3,088.00",99.921283
"3,087.00",99.899708
"3,086.00",99.887672
"3,085.00",99.879876
"3,084.00",99.869364
"3,083.00",99.853358
"3,082.00",99.831129
"3,081.00",99.8054
"3,080.00",99.788007
"3,079.00",99.793674
"3,078.00",99.823337
"3,077.00",99.860171
"3,076.00",99.887527
"3,075.00",99.903941
"3,074.00",99.916448
"3,073.00",99.926347
"3,072.00",99.927712
"3,071.00",99.91595
"3,070.00",99.891102
"3,069.00",99.856509
"3,068.00",99.819335
"3,067.00",99.789145
"3,066.00",99.771033
"3,065.00",99.762923
"3,064.00",99.762235
"3,063.00",99.770343
"3,062.00",99.786356
"3,061.00",99.801301
"3,060.00",99.803773
"3,059.00",99.788633
"3,058.00",99.759175
"3,057.00",99.724013
"3,056.00",99.694364
"3,055.00",99.679244
"3,054.00",99.680502
"3,053.00",99.69462
"3,052.00",99.717656
"3,051.00",99.744577
"3,050.00",99.76425
"3,049.00",99.763855
"3,048.00",99.742154
"3,047.00",99.712792
"3,046.00",99.690824
"3,045.00",99.680168
"3,044.00",99.674353
"3,043.00",99.664644
"3,042.00",99.644931
"3,041.00",99.614022
"3,040.00",99.57635
"3,039.00",99.537723
"3,038.00",99.50056
"3,037.00",99.465549
"3,036.00",99.435514
"3,035.00",99.412473
"3,034.00",99.393478
"3,033.00",99.376638
"3,032.00",99.368261
"3,031.00",99.374401
"3,030.00",99.387227
"3,029.00",99.390811
"3,028.00",99.380041
"3,027.00",99.364682
"3,026.00",99.354543
"3,025.00",99.349207
"3,024.00",99.344253
"3,023.00",99.338302
"3,022.00",99.328688
"3,021.00",99.310172
"3,020.00",99.283832
"3,019.00",99.25896
"3,018.00",99.23856
"3,017.00",99.210803
"3,016.00",99.163956
"3,015.00",99.104533
"3,014.00",99.051778
"3,013.00",99.017286
"3,012.00",98.996736
"3,011.00",98.978556
"3,010.00",98.952902
"3,009.00",98.914268
"3,008.00",98.86375
"3,007.00",98.810897
"3,006.00",98.768074
"3,005.00",98.739013
"3,004.00",98.713606
"3,003.00",98.675535
"3,002.00",98.616262
"3,001.00",98.54281
"3,000.00",98.470991
"2,999.00",98.409247
"2,998.00",98.350266
"2,997.00",98.282142
"2,996.00",98.205194
"2,995.00",98.130067
"2,994.00",98.058629
"2,993.00",97.975962
"2,992.00",97.866667
"2,991.00",97.73291
"2,990.00",97.5905
"2,989.00",97.451516
"2,988.00",97.315945
"2,987.00",97.176747
"2,986.00",97.025872
"2,985.00",96.855289
"2,984.00",96.658102
"2,983.00",96.431595
"2,982.00",96.176574
"2,981.00",95.891186
"2,980.00",95.566489
"2,979.00",95.190194
"2,978.00",94.753568
"2,977.00",94.251948
"2,976.00",93.677369
"2,975.00",93.012655
"2,974.00",92.234794
"2,973.00",91.322882
"2,972.00",90.260712
"2,971.00",89.034594
"2,970.00",87.63588
"2,969.00",86.070747
"2,968.00",84.36769
"2,967.00",82.577244
"2,966.00",80.766726
"2,965.00",79.011601
"2,964.00",77.38152
"2,963.00",75.927
"2,962.00",74.679676
"2,961.00",73.664614
"2,960.00",72.910787
"2,959.00",72.452154
"2,958.00",72.325094
"2,957.00",72.566063
"2,956.00",73.200732
